SEASON,DATE,YEAR,MONTH,DAY,PLAYER,MATCH,TEAM,OPPONENT,EFF,PTS,FT_M,FT_A,FT_PCT,2FG_M,2FG_A,2FG_PCT,3FG_M,3FG_A,3FG_PCT,AST,STL,BLK,REB_TOT,REB_OFF,REB_DEF,TO,FLS
2023-24,2023-10-11,2023,10,11,Akis Kolovelonis,Vouliagmeni Heat - Αεροδρομιακος,Aerodromiakos,Vouliagmeni Heat,16,18,5,6,83.33,5,7,71.43,1,4,25.0,0,2,0,4,0,4,2,3
2023-24,2023-10-23,2023,10,23,Akis Kolovelonis,Los Reys - Αεροδρομιακος,Aerodromiakos,Los Reys,14,24,6,9,66.67,6,10,60.0,2,6,33.33,1,2,0,3,0,3,5,2
2023-24,2023-11-04,2023,11,4,Akis Kolovelonis,Αεροδρομιακος - Unleash the clowns,Aerodromiakos,Unleash The Clowns,6,8,2,4,50.0,3,10,30.0,0,2,0.0,4,0,0,5,1,4,0,4
2023-24,2023-11-09,2023,11,9,Akis Kolovelonis,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,23,19,7,8,87.5,3,6,50.0,2,4,50.0,2,2,0,9,2,7,3,3
2023-24,2023-11-13,2023,11,13,Akis Kolovelonis,Αεροδρομιακος - Voularbanne Basket,Aerodromiakos,Voularbanne Basket,-4,6,4,7,57.14,1,6,16.67,0,4,0.0,2,1,0,3,2,1,4,3
2023-24,2023-11-29,2023,11,29,Akis Kolovelonis,Αεροδρομιακος - Ποσειδωνες,Aerodromiakos,Poseidones,5,12,1,1,100.0,1,9,11.11,3,9,33.33,2,0,0,6,2,4,1,4
2023-24,2024-01-25,2024,1,25,Akis Kolovelonis,Vouliagmeni Heat - Αεροδρομιακος,Aerodromiakos,Vouliagmeni Heat,21,20,4,5,80.0,8,16,50.0,0,2,0.0,5,2,0,10,1,9,5,3
2023-24,2024-02-01,2024,2,1,Akis Kolovelonis,Αεροδρομιακος - Los Reys,Aerodromiakos,Los Reys,-7,1,1,4,25.0,0,7,0.0,0,4,0.0,3,2,0,6,1,5,5,5
2023-24,2024-02-06,2024,2,6,Akis Kolovelonis,Αεροδρομιακος - Unleash the clowns,Aerodromiakos,Unleash The Clowns,3,2,0,0,0.0,1,4,25.0,0,3,0.0,6,1,0,2,0,2,2,3
2023-24,2024-02-29,2024,2,29,Akis Kolovelonis,Proteas Dads - Αεροδρομιακος,Aerodromiakos,Proteas Dads,-5,2,0,0,0.0,1,10,10.0,0,4,0.0,0,2,0,5,0,5,1,4
2023-24,2024-03-27,2024,3,27,Akis Kolovelonis,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,9,11,0,1,0.0,1,5,20.0,3,7,42.86,4,0,1,3,0,3,1,3
2023-24,2024-05-17,2024,5,17,Akis Kolovelonis,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,1,2,0,0,0.0,1,5,20.0,0,3,0.0,2,0,0,4,1,3,0,2
2024-25,2025-05-29,2025,5,29,Akis Kolovelonis,Αεροδρομιακος - Chicken Nuggets BC,Aerodromiakos,Chicken Nuggets BC,21,19,2,2,100.0,4,8,50.0,3,4,75.0,2,2,0,6,0,6,3,2
2025-26,2025-09-17,2025,9,17,Akis Kolovelonis,Αεροδρομιακος - Chicken Nuggets BC,Aerodromiakos,Chicken Nuggets BC,20,32,3,10,30.0,10,21,47.62,3,9,33.33,4,2,0,7,3,4,1,4
2025-26,2025-09-24,2025,9,24,Akis Kolovelonis,Clicka BC - Αεροδρομιακος,Aerodromiakos,Clicka BC,8,12,3,4,75.0,3,8,37.5,1,2,50.0,2,1,0,1,0,1,1,1
2025-26,2025-10-12,2025,10,12,Akis Kolovelonis,Evriali Warriors - Αεροδρομιακος,Aerodromiakos,Evriali Warriors,9,22,6,7,85.71,5,13,38.46,2,8,25.0,1,3,0,2,2,0,4,1
2025-26,2025-10-29,2025,10,29,Akis Kolovelonis,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,-3,7,1,2,50.0,3,13,23.08,0,1,0.0,0,1,0,1,0,1,0,5
2025-26,2025-11-12,2025,11,12,Akis Kolovelonis,Αεροδρομιακος - Clicka BC,Aerodromiakos,Clicka BC,0,9,3,4,75.0,3,13,23.08,0,2,0.0,0,1,0,6,1,5,3,5
2025-26,2025-11-20,2025,11,20,Akis Kolovelonis,Αεροδρομιακος - Ανηθικοι Πιθηκοι,Aerodromiakos,Anithikoi Pithikoi,10,11,0,1,0.0,4,7,57.14,1,3,33.33,3,1,0,2,1,1,1,5
2025-26,2025-11-24,2025,11,24,Akis Kolovelonis,Αεροδρομιακος - Vouliagmeni Heat,Aerodromiakos,Vouliagmeni Heat,10,13,2,3,66.67,4,8,50.0,1,1,100.0,0,2,0,6,0,6,6,3
2025-26,2025-12-11,2025,12,11,Akis Kolovelonis,Hoston Celtics - Αεροδρομιακος,Aerodromiakos,Hoston Celtics,2,2,0,0,0.0,1,3,33.33,0,2,0.0,3,1,0,1,0,1,1,4
2025-26,2025-12-19,2025,12,19,Akis Kolovelonis,Unleash the clowns - Αεροδρομιακος,Aerodromiakos,Unleash The Clowns,3,7,0,1,0.0,2,8,25.0,1,3,33.33,1,1,0,4,1,3,1,2
2025-26,2026-01-08,2026,1,8,Akis Kolovelonis,Αεροδρομιακος - Glyfathers,Aerodromiakos,Glyfathers,15,14,0,0,0.0,7,12,58.33,0,2,0.0,2,4,0,6,2,4,4,5
2025-26,2026-01-15,2026,1,15,Akis Kolovelonis,Evriali Warriors - Αεροδρομιακος,Aerodromiakos,Evriali Warriors,12,11,0,0,0.0,4,6,66.67,1,2,50.0,4,1,0,1,0,1,2,2
2025-26,2026-01-29,2026,1,29,Akis Kolovelonis,Αεροδρομιακος - Vouliagmeni Heat,Aerodromiakos,Vouliagmeni Heat,5,10,0,0,0.0,5,9,55.56,0,6,0.0,0,2,0,6,0,6,3,4
2025-26,2026-02-26,2026,2,26,Akis Kolovelonis,El Maestro - Αεροδρομιακος,Aerodromiakos,El Maestro,4,9,3,4,75.0,3,10,30.0,0,2,0.0,1,1,0,5,1,4,2,3
2024-25,2024-09-30,2024,9,30,Anastasios Giogiakas,Αεροδρομιακος - Los Reys,Aerodromiakos,Los Reys,6,4,0,0,0.0,2,5,40.0,0,4,0.0,5,0,0,6,2,4,2,5
2024-25,2024-10-08,2024,10,8,Anastasios Giogiakas,Beertouozoi - Αεροδρομιακος,Aerodromiakos,Beertouozoi,2,9,1,2,50.0,1,4,25.0,2,6,33.33,5,0,0,3,1,2,7,0
2024-25,2024-10-14,2024,10,14,Anastasios Giogiakas,Αεροδρομιακος - Slow Motion,Aerodromiakos,Slow Motion,1,5,0,1,0.0,1,4,25.0,1,5,20.0,3,0,0,3,1,2,2,1
2024-25,2024-10-24,2024,10,24,Anastasios Giogiakas,Glyfada Bulls - Αεροδρομιακος,Aerodromiakos,Glyfada Bulls,8,7,1,2,50.0,0,2,0.0,2,7,28.57,4,0,0,7,1,6,2,1
2024-25,2024-11-06,2024,11,6,Anastasios Giogiakas,Proteas Dads - Αεροδρομιακος,Aerodromiakos,Proteas Dads,-6,2,0,0,0.0,1,5,20.0,0,6,0.0,2,1,0,1,0,1,2,1
2024-25,2024-11-18,2024,11,18,Anastasios Giogiakas,Αεροδρομιακος - Ανηθικοι Πιθηκοι,Aerodromiakos,Anithikoi Pithikoi,3,11,1,2,50.0,2,8,25.0,2,12,16.67,2,1,0,9,3,6,3,1
2024-25,2024-11-27,2024,11,27,Anastasios Giogiakas,Αεροδρομιακος - Vouliagmeni Heat,Aerodromiakos,Vouliagmeni Heat,1,0,0,0,0.0,0,0,0.0,0,3,0.0,1,0,0,7,1,6,4,1
2024-25,2024-12-05,2024,12,5,Anastasios Giogiakas,Clicka BC - Αεροδρομιακος,Aerodromiakos,Clicka BC,4,5,3,4,75.0,1,3,33.33,0,3,0.0,1,1,0,4,0,4,1,4
2024-25,2024-12-09,2024,12,9,Anastasios Giogiakas,Αεροδρομιακος - Chicken Nuggets BC,Aerodromiakos,Chicken Nuggets BC,5,6,0,0,0.0,0,3,0.0,2,8,25.0,2,2,0,4,1,3,0,3
2024-25,2025-01-11,2025,1,11,Anastasios Giogiakas,Αεροδρομιακος - Glyfathers,Aerodromiakos,Glyfathers,5,0,0,0,0.0,0,0,0.0,0,2,0.0,3,1,0,3,0,3,0,1
2024-25,2025-01-27,2025,1,27,Anastasios Giogiakas,Αεροδρομιακος - Ποσειδωνες,Aerodromiakos,Poseidones,1,2,0,0,0.0,1,3,33.33,0,3,0.0,2,0,0,4,0,4,2,1
2024-25,2025-02-04,2025,2,4,Anastasios Giogiakas,Vouliagmeni Heat - Αεροδρομιακος,Aerodromiakos,Vouliagmeni Heat,10,8,2,4,50.0,3,6,50.0,0,2,0.0,4,2,0,4,1,3,1,1
2024-25,2025-02-11,2025,2,11,Anastasios Giogiakas,Αεροδρομιακος - Glyfada Bulls,Aerodromiakos,Glyfada Bulls,2,2,0,0,0.0,1,3,33.33,0,2,0.0,1,0,0,3,1,2,0,0
2024-25,2025-03-06,2025,3,6,Anastasios Giogiakas,Αεροδρομιακος - Clicka BC,Aerodromiakos,Clicka BC,6,2,0,0,0.0,1,3,33.33,0,2,0.0,2,1,0,6,1,5,1,1
2024-25,2025-03-19,2025,3,19,Anastasios Giogiakas,Αεροδρομιακος - Glyfathers,Aerodromiakos,Glyfathers,-4,0,0,0,0.0,0,1,0.0,0,4,0.0,2,0,0,1,0,1,2,2
2024-25,2025-03-29,2025,3,29,Anastasios Giogiakas,Glyfathers - Αεροδρομιακος,Aerodromiakos,Glyfathers,13,6,0,0,0.0,0,1,0.0,2,7,28.57,5,1,0,8,1,7,1,3
2024-25,2025-04-05,2025,4,5,Anastasios Giogiakas,Αεροδρομιακος - Partuzan,Aerodromiakos,Partuzan,2,1,1,2,50.0,0,2,0.0,0,2,0.0,0,0,0,7,1,6,1,1
2024-25,2025-04-09,2025,4,9,Anastasios Giogiakas,Ανηθικοι Πιθηκοι - Αεροδρομιακος,Aerodromiakos,Anithikoi Pithikoi,1,3,0,0,0.0,0,1,0.0,1,3,33.33,1,1,0,1,0,1,2,0
2024-25,2025-05-11,2025,5,11,Anastasios Giogiakas,El Maestro - Αεροδρομιακος,Aerodromiakos,El Maestro,1,2,0,0,0.0,1,6,16.67,0,0,0.0,1,0,0,6,1,5,3,2
2024-25,2025-06-02,2025,6,2,Anastasios Giogiakas,Clicka BC - Αεροδρομιακος,Aerodromiakos,Clicka BC,4,7,1,3,33.33,3,7,42.86,0,2,0.0,3,1,0,2,1,1,1,2
2024-25,2025-06-13,2025,6,13,Anastasios Giogiakas,Clicka BC - Αεροδρομιακος,Aerodromiakos,Clicka BC,2,3,0,0,0.0,0,2,0.0,1,3,33.33,4,0,0,2,0,2,3,1
2025-26,2025-09-17,2025,9,17,Anastasios Giogiakas,Αεροδρομιακος - Chicken Nuggets BC,Aerodromiakos,Chicken Nuggets BC,9,3,0,0,0.0,0,3,0.0,1,2,50.0,6,1,0,6,0,6,3,3
2025-26,2025-09-30,2025,9,30,Anastasios Giogiakas,Αεροδρομιακος - El Maestro,Aerodromiakos,El Maestro,6,7,1,3,33.33,3,5,60.0,0,2,0.0,2,1,0,7,2,5,5,0
2025-26,2025-10-12,2025,10,12,Anastasios Giogiakas,Evriali Warriors - Αεροδρομιακος,Aerodromiakos,Evriali Warriors,5,2,0,1,0.0,1,3,33.33,0,3,0.0,2,0,0,7,1,6,0,1
2025-26,2025-11-20,2025,11,20,Anastasios Giogiakas,Αεροδρομιακος - Ανηθικοι Πιθηκοι,Aerodromiakos,Anithikoi Pithikoi,8,5,0,0,0.0,1,4,25.0,1,2,50.0,4,2,0,4,1,3,3,0
2025-26,2026-02-09,2026,2,9,Anastasios Giogiakas,Αεροδρομιακος - Clicka BC,Aerodromiakos,Clicka BC,8,7,0,0,0.0,2,2,100.0,1,2,50.0,1,1,0,3,1,2,3,2
2025-26,2026-02-18,2026,2,18,Anastasios Giogiakas,Proteas Dads - Αεροδρομιακος,Aerodromiakos,Proteas Dads,3,6,0,0,0.0,0,2,0.0,2,6,33.33,1,1,0,3,1,2,2,1
2025-26,2025-09-24,2025,9,24,Antonios Tzanidakis,Clicka BC - Αεροδρομιακος,Aerodromiakos,Clicka BC,-10,1,1,2,50.0,0,1,0.0,0,6,0.0,1,0,0,2,0,2,6,1
2025-26,2025-09-30,2025,9,30,Antonios Tzanidakis,Αεροδρομιακος - El Maestro,Aerodromiakos,El Maestro,-9,4,2,3,66.67,1,2,50.0,0,7,0.0,1,0,0,2,0,2,7,0
2025-26,2025-10-15,2025,10,15,Antonios Tzanidakis,Proteas Dads - Αεροδρομιακος,Aerodromiakos,Proteas Dads,21,22,3,4,75.0,2,5,40.0,5,13,38.46,3,4,0,6,1,5,2,2
2025-26,2025-12-03,2025,12,3,Antonios Tzanidakis,Αεροδρομιακος - South Rebels,Aerodromiakos,South Rebels,15,25,2,3,66.67,4,7,57.14,5,11,45.45,5,1,0,3,0,3,9,1
2025-26,2025-12-11,2025,12,11,Antonios Tzanidakis,Hoston Celtics - Αεροδρομιακος,Aerodromiakos,Hoston Celtics,12,15,2,4,50.0,2,4,50.0,3,9,33.33,2,2,0,4,0,4,1,0
2025-26,2025-12-19,2025,12,19,Antonios Tzanidakis,Unleash the clowns - Αεροδρομιακος,Aerodromiakos,Unleash The Clowns,17,19,3,4,75.0,2,6,33.33,4,12,33.33,4,1,0,8,2,6,2,2
2023-24,2023-09-25,2023,9,25,Antonis Koludas,Hoston Celtics - Αεροδρομιακος,Aerodromiakos,Hoston Celtics,-1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1
2023-24,2023-10-02,2023,10,2,Antonis Koludas,San Antonio Sperms - Αεροδρομιακος,Aerodromiakos,San Antonio Sperms,2,3,1,2,50.0,1,3,33.33,0,0,0.0,0,1,0,2,0,2,1,2
2023-24,2023-11-04,2023,11,4,Antonis Koludas,Αεροδρομιακος - Unleash the clowns,Aerodromiakos,Unleash The Clowns,9,6,0,0,0.0,3,4,75.0,0,1,0.0,1,0,0,4,1,3,0,4
2023-24,2023-11-09,2023,11,9,Antonis Koludas,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,0,0,0,0,0.0,0,0,0.0,0,2,0.0,1,1,0,0,0,0,0,1
2023-24,2023-11-13,2023,11,13,Antonis Koludas,Αεροδρομιακος - Voularbanne Basket,Aerodromiakos,Voularbanne Basket,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
2023-24,2023-11-22,2023,11,22,Antonis Koludas,Αεροδρομιακος - Clicka BC,Aerodromiakos,Clicka BC,6,5,3,4,75.0,1,1,100.0,0,1,0.0,0,0,0,3,0,3,0,1
2023-24,2023-11-29,2023,11,29,Antonis Koludas,Αεροδρομιακος - Ποσειδωνες,Aerodromiakos,Poseidones,0,0,0,0,0.0,0,1,0.0,0,1,0.0,1,1,0,0,0,0,0,1
2023-24,2023-12-04,2023,12,4,Antonis Koludas,Αεροδρομιακος - Ανηθικοι Πιθηκοι,Aerodromiakos,Anithikoi Pithikoi,7,6,0,0,0.0,3,5,60.0,0,0,0.0,0,1,0,3,0,3,1,3
2023-24,2024-01-08,2024,1,8,Antonis Koludas,Αεροδρομιακος - Proteas Dads,Aerodromiakos,Proteas Dads,7,7,0,0,0.0,2,5,40.0,1,1,100.0,0,2,0,1,0,1,0,1
2023-24,2024-01-15,2024,1,15,Antonis Koludas,Αεροδρομιακος - San Antonio Sperms,Aerodromiakos,San Antonio Sperms,-3,0,0,0,0.0,0,2,0.0,0,1,0.0,1,0,0,1,0,1,2,1
2023-24,2024-02-01,2024,2,1,Antonis Koludas,Αεροδρομιακος - Los Reys,Aerodromiakos,Los Reys,6,4,0,0,0.0,2,2,100.0,0,0,0.0,1,0,1,0,0,0,0,5
2023-24,2024-02-06,2024,2,6,Antonis Koludas,Αεροδρομιακος - Unleash the clowns,Aerodromiakos,Unleash The Clowns,5,2,0,0,0.0,1,2,50.0,0,0,0.0,0,0,0,4,1,3,0,0
2023-24,2024-02-12,2024,2,12,Antonis Koludas,Ανηθικοι Πιθηκοι - Αεροδρομιακος,Aerodromiakos,Anithikoi Pithikoi,4,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,3,2,1,0,3
2023-24,2024-02-20,2024,2,20,Antonis Koludas,Αεροδρομιακος - Chicken Nuggets BC,Aerodromiakos,Chicken Nuggets BC,1,2,0,0,0.0,1,2,50.0,0,0,0.0,0,0,0,1,0,1,1,2
2023-24,2024-02-29,2024,2,29,Antonis Koludas,Proteas Dads - Αεροδρομιακος,Aerodromiakos,Proteas Dads,5,6,0,2,0.0,3,6,50.0,0,2,0.0,2,2,0,4,1,3,2,3
2023-24,2024-03-19,2024,3,19,Antonis Koludas,Αεροδρομιακος - Glyfathers,Aerodromiakos,Glyfathers,5,4,0,0,0.0,2,5,40.0,0,1,0.0,1,0,0,4,0,4,0,3
2023-24,2024-03-27,2024,3,27,Antonis Koludas,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,2,2,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0
2023-24,2024-04-04,2024,4,4,Antonis Koludas,Αεροδρομιακος - Glyfathers,Aerodromiakos,Glyfathers,2,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0,0,0,0,0,2
2023-24,2024-04-08,2024,4,8,Antonis Koludas,Ποσειδωνες - Αεροδρομιακος,Aerodromiakos,Poseidones,7,2,0,0,0.0,1,6,16.67,0,1,0.0,0,3,0,8,3,5,0,3
2023-24,2024-04-15,2024,4,15,Antonis Koludas,Αεροδρομιακος - Clicka BC,Aerodromiakos,Clicka BC,7,2,0,0,0.0,1,6,16.67,0,3,0.0,6,0,0,8,4,4,1,2
2023-24,2024-06-20,2024,6,20,Antonis Koludas,Αεροδρομιακος - Washington Lizards,Aerodromiakos,Washington Lizards,2,2,0,0,0.0,1,3,33.33,0,0,0.0,1,0,1,2,0,2,2,2
2023-24,2024-06-27,2024,6,27,Antonis Koludas,Αεροδρομιακος - Ιασις,Aerodromiakos,Iasis,12,8,0,0,0.0,4,8,50.0,0,1,0.0,4,2,0,5,0,5,2,3
2023-24,2024-07-02,2024,7,2,Antonis Koludas,Αεροδρομιακος - Beertouozoi,Aerodromiakos,Beertouozoi,0,3,0,0,0.0,0,7,0.0,1,3,33.33,0,1,0,7,0,7,2,4
2024-25,2025-05-29,2025,5,29,Antonis Koludas,Αεροδρομιακος - Chicken Nuggets BC,Aerodromiakos,Chicken Nuggets BC,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0
2025-26,2025-12-19,2025,12,19,Antonis Koludas,Unleash the clowns - Αεροδρομιακος,Aerodromiakos,Unleash The Clowns,9,4,0,0,0.0,2,3,66.67,0,0,0.0,2,0,0,4,2,2,0,5
2023-24,2023-09-25,2023,9,25,Argyris Sideris,Hoston Celtics - Αεροδρομιακος,Aerodromiakos,Hoston Celtics,4,4,0,0,0.0,2,3,66.67,0,0,0.0,0,1,0,3,0,3,3,1
2023-24,2023-10-02,2023,10,2,Argyris Sideris,San Antonio Sperms - Αεροδρομιακος,Aerodromiakos,San Antonio Sperms,18,17,3,3,100.0,4,7,57.14,2,3,66.67,0,1,0,5,2,3,1,2
2023-24,2023-10-11,2023,10,11,Argyris Sideris,Vouliagmeni Heat - Αεροδρομιακος,Aerodromiakos,Vouliagmeni Heat,10,12,4,6,66.67,4,6,66.67,0,3,0.0,1,0,0,5,1,4,1,0
2023-24,2023-10-23,2023,10,23,Argyris Sideris,Los Reys - Αεροδρομιακος,Aerodromiakos,Los Reys,9,13,1,2,50.0,3,8,37.5,2,6,33.33,2,2,0,4,2,2,2,4
2023-24,2023-11-04,2023,11,4,Argyris Sideris,Αεροδρομιακος - Unleash the clowns,Aerodromiakos,Unleash The Clowns,3,11,2,4,50.0,3,9,33.33,1,3,33.33,2,0,0,2,2,0,2,3
2023-24,2023-11-09,2023,11,9,Argyris Sideris,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,12,11,4,9,44.44,2,5,40.0,1,3,33.33,1,1,1,8,1,7,0,2
2023-24,2023-11-13,2023,11,13,Argyris Sideris,Αεροδρομιακος - Voularbanne Basket,Aerodromiakos,Voularbanne Basket,10,6,0,0,0.0,3,7,42.86,0,4,0.0,1,1,0,11,1,10,1,1
2023-24,2023-11-29,2023,11,29,Argyris Sideris,Αεροδρομιακος - Ποσειδωνες,Aerodromiakos,Poseidones,3,7,2,2,100.0,1,6,16.67,1,7,14.29,1,0,0,7,2,5,1,1
2023-24,2023-12-04,2023,12,4,Argyris Sideris,Αεροδρομιακος - Ανηθικοι Πιθηκοι,Aerodromiakos,Anithikoi Pithikoi,2,2,0,0,0.0,1,4,25.0,0,3,0.0,0,0,0,6,2,4,0,1
2023-24,2024-01-08,2024,1,8,Argyris Sideris,Αεροδρομιακος - Proteas Dads,Aerodromiakos,Proteas Dads,9,10,3,4,75.0,2,5,40.0,1,4,25.0,1,1,0,4,1,3,0,0
2023-24,2024-01-15,2024,1,15,Argyris Sideris,Αεροδρομιακος - San Antonio Sperms,Aerodromiakos,San Antonio Sperms,1,0,0,0,0.0,0,3,0.0,0,3,0.0,2,2,1,6,1,5,4,2
2023-24,2024-01-25,2024,1,25,Argyris Sideris,Vouliagmeni Heat - Αεροδρομιακος,Aerodromiakos,Vouliagmeni Heat,18,19,2,9,22.22,7,9,77.78,1,4,25.0,1,1,0,13,6,7,4,1
2023-24,2024-02-01,2024,2,1,Argyris Sideris,Αεροδρομιακος - Los Reys,Aerodromiakos,Los Reys,13,18,0,0,0.0,3,7,42.86,4,9,44.44,0,0,0,6,1,5,2,0
2023-24,2024-02-06,2024,2,6,Argyris Sideris,Αεροδρομιακος - Unleash the clowns,Aerodromiakos,Unleash The Clowns,8,8,0,0,0.0,1,4,25.0,2,5,40.0,1,0,1,5,1,4,1,0
2023-24,2024-02-20,2024,2,20,Argyris Sideris,Αεροδρομιακος - Chicken Nuggets BC,Aerodromiakos,Chicken Nuggets BC,2,4,2,4,50.0,1,3,33.33,0,1,0.0,1,2,0,3,1,2,3,1
2023-24,2024-02-29,2024,2,29,Argyris Sideris,Proteas Dads - Αεροδρομιακος,Aerodromiakos,Proteas Dads,-7,0,0,0,0.0,0,2,0.0,0,4,0.0,0,0,1,0,0,0,2,2
2023-24,2024-03-19,2024,3,19,Argyris Sideris,Αεροδρομιακος - Glyfathers,Aerodromiakos,Glyfathers,2,11,1,3,33.33,5,10,50.0,0,3,0.0,0,0,0,4,0,4,3,1
2023-24,2024-03-27,2024,3,27,Argyris Sideris,Chicken Nuggets BC - Αεροδρομιακος,Aerodromiakos,Chicken Nuggets BC,2,5,1,2,50.0,2,8,25.0,0,1,0.0,0,0,0,8,1,7,3,3
2024-25,2024-09-30,2024,9,30,Argyris Sideris,Αεροδρομιακος - Los Reys,Aerodromiakos,Los Reys,3,10,2,2,100.0,1,4,25.0,2,7,28.57,1,0,0,2,2,0,2,1
2024-25,2024-10-08,2024,10,8,Argyris Sideris,Beertouozoi - Αεροδρομιακος,Aerodromiakos,Beertouozoi,9,10,0,0,0.0,2,2,100.0,2,6,33.33,1,1,0,4,0,4,3,0
2024-25,2024-10-14,2024,10,14,Argyris Sideris,Αεροδρομιακος - Slow Motion,Aerodromiakos,Slow Motion,7,6,4,4,100.0,1,1,100.0,0,4,0.0,0,1,1,6,0,6,3,0
2024-25,2024-10-24,2024,10,24,Argyris Sideris,Glyfada Bulls - Αεροδρομιακος,Aerodromiakos,Glyfada Bulls,3,1,1,2,50.0,0,1,0.0,0,5,0.0,2,2,1,5,0,5,1,1
2024-25,2024-11-06,2024,11,6,Argyris Sideris,Proteas Dads - Αεροδρομιακος,Aerodromiakos,Proteas Dads,23,18,3,3,100.0,0,1,0.0,5,9,55.56,2,2,0,8,2,6,2,2
2024-25,2024-11-14,2024,11,14,Argyris Sideris,Los Reys - Αεροδρομιακος,Aerodromiakos,Los Reys,-1,6,2,2,100.0,2,4,50.0,0,8,0.0,2,1,1,3,0,3,4,2
2024-25,2024-11-18,2024,11,18,Argyris Sideris,Αεροδρομιακος - Ανηθικοι Πιθηκοι,Aerodromiakos,Anithikoi Pithikoi,2,8,4,5,80.0,2,3,66.67,0,7,0.0,1,0,0,4,0,4,2,2
2024-25,2024-11-27,2024,11,27,Argyris Sideris,Αεροδρομιακος - Vouliagmeni Heat,Aerodromiakos,Vouliagmeni Heat,12,15,2,4,50.0,2,4,50.0,3,7,42.86,0,1,0,6,0,6,2,0
2024-25,2024-12-05,2024,12,5,Argyris Sideris,Clicka BC - Αεροδρομιακος,Aerodromiakos,Clicka BC,5,9,4,4,100.0,1,3,33.33,1,7,14.29,2,1,0,3,1,2,2,0
2024-25,2024-12-14,2024,12,14,Argyris Sideris,Unleash the clowns - Αεροδρομιακος,Aerodromiakos,Unleash The Clowns,4,4,0,0,0.0,2,7,28.57,0,5,0.0,3,2,0,6,0,6,1,1
2024-25,2025-01-11,2025,1,11,Argyris Sideris,Αεροδρομιακος - Glyfathers,Aerodromiakos,Glyfathers,2,7,2,4,50.0,1,3,33.33,1,5,20.0,0,1,0,3,0,3,1,2
2024-25,2025-01-27,2025,1,27,Argyris Sideris,Αεροδρομιακος - Ποσειδωνες,Aerodromiakos,Poseidones,7,6,0,0,0.0,3,4,75.0,0,3,0.0,3,0,0,3,1,2,1,2
2024-25,2025-02-04,2025,2,4,Argyris Sideris,Vouliagmeni Heat - Αεροδρομιακος,Aerodromiakos,Vouliagmeni Heat,4,11,4,6,66.67,2,9,22.22,1,3,33.33,0,0,0,7,3,4,3,5
2024-25,2025-02-11,2025,2,11,Argyris Sideris,Αεροδρομιακος - Glyfada Bulls,Aerodromiakos,Glyfada Bulls,10,10,0,0,0.0,2,4,50.0,2,4,50.0,0,0,0,4,1,3,0,2
2024-25,2025-02-19,2025,2,19,Argyris Sideris,Partuzan - Αεροδρομιακος,Aerodromiakos,Partuzan,10,8,0,0,0.0,4,8,50.0,0,2,0.0,1,1,0,6,2,4,0,0
2024-25,2025-03-06,2025,3,6,Argyris Sideris,Αεροδρομιακος - Clicka BC,Aerodromiakos,Clicka BC,19,15,5,5,100.0,5,13,38.46,0,3,0.0,3,2,0,11,3,8,1,1
2024-25,2025-03-15,2025,3,15,Argyris Sideris,Unleash the clowns - Αεροδρομιακος,Aerodromiakos,Unleash The Clowns,10,9,3,4,75.0,3,5,60.0,0,2,0.0,3,2,0,4,0,4,3,0
2024-25,2025-03-19,2025,3,19,Argyris Sideris,Αεροδρομιακος - Glyfathers,Aerodromiakos,Glyfathers,12,12,2,4,50.0,2,2,100.0,2,5,40.0,1,0,1,5,0,5,2,0
2024-25,2025-03-29,2025,3,29,Argyris Sideris,Glyfathers - Αεροδρομιακος,Aerodromiakos,Glyfathers,17,15,0,0,0.0,3,3,100.0,3,8,37.5,2,2,0,6,2,4,3,0
2024-25,2025-04-05,2025,4,5,Argyris Sideris,Αεροδρομιακος - Partuzan,Aerodromiakos,Partuzan,11,15,2,3,66.67,5,11,45.45,1,6,16.67,3,1,0,7,3,4,3,3
2024-25,2025-04-09,2025,4,9,Argyris Sideris,Ανηθικοι Πιθηκοι - Αεροδρομιακος,Aerodromiakos,Anithikoi Pithikoi,5,8,0,0,0.0,4,9,44.44,0,3,0.0,1,1,0,5,3,2,2,3
